TreeDepth,PID,Process,Offset,HandleValue,Type,GrantedAccess,Name
0,4,System,0xe3861205c040,0x4,Process,0x1fffff,System Pid 4
0,4,System,0xe386121cb140,0x8,Thread,0x1fffff,Tid 28 Pid 4
0,4,System,0xbd8ac42838a0,0xc,Directory,0xf000f,-
0,4,System,0xe386120ae5e0,0x10,Partition,0x1f0003,MemoryPartition0
0,4,System,0xbd8ac4240830,0x14,Directory,0xf000f,GLOBAL??
0,4,System,0xbd8ac4283470,0x18,Directory,0xf000f,KernelObjects
0,4,System,0xe386120b2320,0x1c,Mutant,0x1f0001,BcdSyncMutant
0,4,System,0xe386120ad120,0x20,Event,0x1f0003,LowPagedPoolCondition
0,4,System,0xe386120ad7a0,0x24,Event,0x1f0003,HighPagedPoolCondition
0,4,System,0xe386120ad820,0x28,Event,0x1f0003,LowNonPagedPoolCondition
0,4,System,0xe386120ad8a0,0x2c,Event,0x1f0003,HighNonPagedPoolCondition
0,4,System,0xe386120add20,0x30,Event,0x1f0003,LowMemoryCondition
0,4,System,0xe386120adca0,0x34,Event,0x1f0003,HighMemoryCondition
0,4,System,0xe386120ad920,0x38,Event,0x1f0003,LowCommitCondition
0,4,System,0xe386120ad420,0x3c,Event,0x1f0003,HighCommitCondition
0,4,System,0xe386120adb20,0x40,Event,0x1f0003,MaximumCommitCondition
0,4,System,0xe386120ada20,0x44,Event,0x1f0003,MemoryErrors
0,4,System,0xe386120adf20,0x48,Event,0x1f0003,PhysicalMemoryChange
0,4,System,0xe386121bd080,0x4c,Thread,0x1fffff,Tid 76 Pid 4
0,4,System,0xe386120d7080,0x50,Process,0x1fffff,Registry Pid 92
0,4,System,0xbd8ac43054e0,0x54,Key,0x2001f,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\HIVELIST
0,4,System,0xbd8ac49d70a0,0x58,Key,0x20000,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\CLASS\\{4D36E97D-E325-11CE-BFC1-08002BE10318}\\0130
0,4,System,0xbd8ac423ddc0,0x5c,Key,0x0,-
0,4,System,0xe386184ac080,0x60,Process,0x1fffff,taskhostw.exe Pid 5124
0,4,System,0xbd8ac4305920,0x64,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\LEAPSECONDINFORMATION
0,4,System,0xbd8ac4305700,0x68,Key,0x20019,MACHINE\\SYSTEM\\CONTROLSET001\\CONTROL\\NOTIFICATIONS
