TreeDepth,Pid,Process,Base,InLoad,InInit,InMem,MappedPath
0,636,services.exe,0x7ff7ea850000,True,False,True,\\Windows\\System32\\services.exe
0,636,services.exe,0x22d21170000,False,False,False,\\Windows\\System32\\en-US\\services.exe.mui
0,764,svchost.exe,0x7ff6be0c0000,True,False,True,\\Windows\\System32\\svchost.exe
0,764,svchost.exe,0x7ffee92c0000,True,True,True,\\Windows\\System32\\rsaenh.dll
0,360,svchost.exe,0x7ff6be0c0000,True,False,True,\\Windows\\System32\\svchost.exe
0,360,svchost.exe,0x7ffed94a0000,True,True,True,\\Windows\\System32\\wbem\\wbemcore.dll
0,680,svchost.exe,0x7ff6be0c0000,True,False,True,\\Windows\\System32\\svchost.exe
0,1052,svchost.exe,0x7ff6be0c0000,True,False,True,\\Windows\\System32\\svchost.exe
0,1052,svchost.exe,0x7ffeeaab0000,True,True,True,\\Windows\\System32\\bcryptprimitives.dll
0,1536,svchost.exe,0x7ff6be0c0000,True,False,True,\\Windows\\System32\\svchost.exe
0,1708,svchost.exe,0x7ffec9eb0000,True,True,True,\\Windows\\System32\\CapabilityAccessManager.dll
0,1708,svchost.exe,0x7ff6be0c0000,True,False,True,\\Windows\\System32\\svchost.exe
0,1708,svchost.exe,0x7ffecbe50000,True,True,True,\\Windows\\System32\\biwinrt.dll
0,1708,svchost.exe,0x7ffed43c0000,True,True,True,\\Windows\\System32\\Windows.Networking.Connectivity.dll
0,1708,svchost.exe,0x7ffeda230000,True,True,True,\\Windows\\System32\\Windows.Devices.Bluetooth.dll
0,1708,svchost.exe,0x7ffed9ed0000,True,True,True,\\Windows\\System32\\Windows.Networking.dll
0,1708,svchost.exe,0x7ffedd7f0000,True,True,True,\\Windows\\System32\\AudioSes.dll
0,1708,svchost.exe,0x7ffee4b40000,True,True,True,\\Windows\\System32\\policymanager.dll
0,1708,svchost.exe,0x7ffede760000,True,True,True,\\Windows\\System32\\CapabilityAccessManagerClient.dll
0,1708,svchost.exe,0x7ffede560000,True,True,True,\\Windows\\System32\\Windows.Networking.HostName.dll
0,1708,svchost.exe,0x7ffede8a0000,True,True,True,\\Windows\\System32\\CapabilityAccessHandlers.dll
0,1708,svchost.exe,0x7ffee0a50000,True,True,True,\\Windows\\System32\\wifidatacapabilityhandler.dll
0,1708,svchost.exe,0x7ffee40c0000,True,True,True,\\Windows\\System32\\MMDevAPI.dll
0,1708,svchost.exe,0x7ffee5ca0000,True,True,True,\\Windows\\System32\\cellulardatacapabilityhandler.dll
0,1708,svchost.exe,0x7ffee6d10000,True,True,True,\\Windows\\System32\\WinTypes.dll
0,1708,svchost.exe,0x7ffeeb670000,True,True,True,\\Windows\\System32\\kernel32.dll
0,1708,svchost.exe,0x7ffeeb190000,True,True,True,\\Windows\\System32\\sechost.dll
0,1708,svchost.exe,0x7ffeeaf40000,True,True,True,\\Windows\\System32\\advapi32.dll
0,1708,svchost.exe,0x7ffeeb310000,True,True,True,\\Windows\\System32\\combase.dll
0,1708,svchost.exe,0x7ffeec760000,True,True,True,\\Windows\\System32\\msvcrt.dll
0,1708,svchost.exe,0x7ffeec5d0000,True,True,True,\\Windows\\System32\\ws2_32.dll
0,1708,svchost.exe,0x7ffeec500000,True,True,True,\\Windows\\System32\\oleaut32.dll
0,1708,svchost.exe,0x7ffeeb930000,True,True,True,\\Windows\\System32\\nsi.dll
0,1708,svchost.exe,0x7ffeecad0000,True,True,True,\\Windows\\System32\\ntdll.dll
0,1708,svchost.exe,0x7ffeec800000,True,True,True,\\Windows\\System32\\SHCore.dll
0,2264,vmtoolsd.exe,0x7ffee9620000,True,True,True,\\Windows\\System32\\IPHLPAPI.DLL
0,2616,WmiPrvSE.exe,0x2276ec50000,False,False,False,\\Windows\\System32\\wbem\\en-US\\cimwin32.dll.mui
0,2616,WmiPrvSE.exe,0x7ffed7050000,True,True,True,\\Windows\\System32\\wbem\\cimwin32.dll
0,2616,WmiPrvSE.exe,0x7ffeddf80000,True,True,True,\\Windows\\System32\\wmitomi.dll
0,2616,WmiPrvSE.exe,0x7ffeea8a0000,True,True,True,\\Windows\\System32\\crypt32.dll
0,2616,WmiPrvSE.exe,0x7ffeeade0000,True,True,True,\\Windows\\System32\\rpcrt4.dll
0,2616,WmiPrvSE.exe,0x7ffeeb190000,True,True,True,\\Windows\\System32\\sechost.dll
0,2616,WmiPrvSE.exe,0x7ffeeb670000,True,True,True,\\Windows\\System32\\kernel32.dll
0,2616,WmiPrvSE.exe,0x7ffeeb310000,True,True,True,\\Windows\\System32\\combase.dll
0,2616,WmiPrvSE.exe,0x7ffeec760000,True,True,True,\\Windows\\System32\\msvcrt.dll
0,2616,WmiPrvSE.exe,0x7ffeec5d0000,True,True,True,\\Windows\\System32\\ws2_32.dll
0,2616,WmiPrvSE.exe,0x7ffeec500000,True,True,True,\\Windows\\System32\\oleaut32.dll
0,2616,WmiPrvSE.exe,0x7ffeecad0000,True,True,True,\\Windows\\System32\\ntdll.dll
0,2616,WmiPrvSE.exe,0x7ffeeca70000,True,True,True,\\Windows\\System32\\imagehlp.dll
0,3720,explorer.exe,0x8e0000,False,False,False,\\Windows\\en-US\\explorer.exe.mui
